"","dpID","termID","tableID","termName","spatialRes","spatialDesc","timeRes","timeDesc","fullID"
"34","NEON.DOM.SIT.DP1.00003",5,3,"date",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00005.003"
"35","NEON.DOM.SIT.DP1.00003",39,3,"mean",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00039.003"
"36","NEON.DOM.SIT.DP1.00003",40,3,"variance",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00040.003"
"37","NEON.DOM.SIT.DP1.00003",41,3,"min",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00041.003"
"38","NEON.DOM.SIT.DP1.00003",42,3,"max",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00042.003"
"39","NEON.DOM.SIT.DP1.00003",43,3,"identifier",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00043.003"
"40","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00044.003"
"41","NEON.DOM.SIT.DP1.00003",1,3,"uid",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00001.003"
"42","NEON.DOM.SIT.DP1.00003",2,3,"domainID",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00002.003"
"43","NEON.DOM.SIT.DP1.00003",3,3,"siteID",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00003.003"
"44","NEON.DOM.SIT.DP1.00003",5,3,"date",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00005.003"
"45","NEON.DOM.SIT.DP1.00003",39,3,"mean",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00039.003"
"46","NEON.DOM.SIT.DP1.00003",40,3,"variance",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00040.003"
"47","NEON.DOM.SIT.DP1.00003",41,3,"min",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00041.003"
